Label,Count,Wing_Area
MP_PanKopp1.1_B3_1_F__22.tif,84,B3
MP_PanKopp1.1_B3_1_F__22.tif,74,C1
MP_PanKopp1.1_B3_1_F__22.tif,86,C2
MP_PanKopp1.1_B3_1_F__22.tif,95,C3
MP_PanKopp1.1_B3_1_F__22.tif,89,E1
MP_PanKopp1.1_B3_1_F__22.tif,85,E2
MP_PanKopp1.1_B3_1_F__22.tif,82,F1
MP_PanKopp1.1_B3_1_F__22.tif,96,F2
MP_PanKopp1.1_B3_1_F__22.tif,94,F3
MP_PanKopp1.1_B3_1_F__22.tif,110,G1
MP_PanKopp1.1_B3_1_F__22.tif,79,G2
MP_PanKopp1.1_B3_1_F__22.tif,106,G3
MP_PanKopp1.1_B3_1_F__23.tif,71,A1
MP_PanKopp1.1_B3_1_F__23.tif,72,A2
MP_PanKopp1.1_B3_1_F__23.tif,79,B1
MP_PanKopp1.1_B3_1_F__23.tif,79,B2
MP_PanKopp1.1_B3_1_F__23.tif,97,B3
MP_PanKopp1.1_B3_1_F__23.tif,71,C1
MP_PanKopp1.1_B3_1_F__23.tif,83,C2
MP_PanKopp1.1_B3_1_F__23.tif,96,C3
MP_PanKopp1.1_B3_1_F__23.tif,81,E1
MP_PanKopp1.1_B3_1_F__23.tif,90,E2
MP_PanKopp1.1_B3_1_F__23.tif,94,F1
MP_PanKopp1.1_B3_1_F__23.tif,96,F2
MP_PanKopp1.1_B3_1_F__23.tif,100,F3
MP_PanKopp1.1_B3_1_F__23.tif,112,G1
MP_PanKopp1.1_B3_1_F__23.tif,73,G2
MP_PanKopp1.1_B3_1_F__23.tif,111,G3
MP_PanKopp1.1_B3_1_F__24.tif,71,A1
MP_PanKopp1.1_B3_1_F__24.tif,66,A2
MP_PanKopp1.1_B3_1_F__24.tif,73,B1
MP_PanKopp1.1_B3_1_F__24.tif,64,B2
MP_PanKopp1.1_B3_1_F__24.tif,86,B3
MP_PanKopp1.1_B3_1_F__24.tif,74,C1
MP_PanKopp1.1_B3_1_F__24.tif,74,C2
MP_PanKopp1.1_B3_1_F__24.tif,96,C3
MP_PanKopp1.1_B3_1_F__24.tif,93,E1
MP_PanKopp1.1_B3_1_F__24.tif,86,E2
MP_PanKopp1.1_B3_1_F__24.tif,83,F1
MP_PanKopp1.1_B3_1_F__24.tif,93,F2
MP_PanKopp1.1_B3_1_F__24.tif,100,F3
MP_PanKopp1.1_B3_1_F__24.tif,105,G1
MP_PanKopp1.1_B3_1_F__24.tif,70,G2
MP_PanKopp1.1_B3_1_F__24.tif,98,G3
MP_PanKopp1.1_B3_1_M__01.tif,71,A1
MP_PanKopp1.1_B3_1_M__01.tif,81,A2
MP_PanKopp1.1_B3_1_M__01.tif,85,B1
MP_PanKopp1.1_B3_1_M__01.tif,88,B2
MP_PanKopp1.1_B3_1_M__01.tif,108,B3
MP_PanKopp1.1_B3_1_M__01.tif,84,C1
